filenm,emotion,text,labels
M_000085,기쁨,오늘 반장 선거에서 내가 반장이 됐어! 친구들이 날 믿어줘서 너무 고맙다.,0
M_000086,기쁨,오늘 시험에 친구가 알려준 문제가 나왔어. 결과가 좋아서 기쁘다.,0
M_000087,기쁨,오늘 대학 합격 통지를 받았어. 엄마가 너무 기뻐하는데 나는 눈물이 났어.,0
M_000088,기쁨,오늘 졸업식인데 선생님께서 아프셔서 오지 못하셨어. 그동안 감사하다는 말도 못했는데.,0
M_000089,기쁨,나 올림피아드에서 금상 받았어! 그동안 고생이 헛되지 않아서 너무 기뻐.,0
M_000090,기쁨,요즘 부모님 부부싸움 때문에 많이 힘들었는데 내 친구 미영이 덕분에 기분이 한결 나아졌어.,0
M_000091,기쁨,오늘 학교에서 친구랑 다퉜는데 선생님은 나만 뭐라고 하셔.,0
M_000092,기쁨,오늘 준비물을 깜빡 했는데 민우가 쉬는 시간에 뛰어가서 사다 준 거 있지. 감동이야.,0
M_000093,기쁨,오늘 발표시간에 내 차례가 되니 눈앞이 캄캄해지는 거 있지.,0
M_000094,기쁨,태희는 천재인 거 같아. 매번 막히는 문제를 물어보면 모르는 게 없어!,0
M_000095,기쁨,담임선생님에게 고민을 이야기하면 마음이 편해져.,0
M_000096,기쁨,대학에서 뭘 공부하고 커서 뭘 해야 할지 모르겠어.,0
M_000097,기쁨,선생님께서 빨리 달려와 주셔서 그 애들이 날 못 때렸어.,0
M_000098,기쁨,학교 폭력을 당하고 있었는데 선생님께서 그걸 먼저 알아채고 도와주셨어.,0
M_000099,기쁨,선생님이 나를 괴롭힌 가해자들 뿐만 아니라 방관자들도 혼을 내셔서 속이 시원해,0
M_000100,기쁨,이번 학교 폭력 위원회에서 가해자들이 징계를 크게 받게 됐어.,0
M_000101,기쁨,아까 내가 혼자 울고 있을 때 담임 선생님께서 손수건을 건네 주셔서 감동했어.,0
M_000102,기쁨,학교 폭력 상담 센터 분들이 모두 나를 다정하고 조심스럽게 대해 주셨어.,0
M_000103,기쁨,보건 선생님이 내가 양호실에 자주 찾아오는 걸 보고 학교 폭력 신고를 해 주셨어.,0
M_000104,기쁨,선생님 덕분에 날 괴롭히던 애들과 오해를 풀고 잘 지낼 수 있게 됐어. 정말 감사드려.,0
M_000105,기쁨,내가 따돌림 당하고 있다는 걸 선생님께 말씀드리고 났더니 훨씬 편해졌어.,0
M_000106,기쁨,어떤 교수님이 내 은사를 알아보고 진로까지 상담해 주셨어. 명확한 길이 보이니 행복해.,0
M_000107,기쁨,내가 구직으로 고민 중인데 내 친구가 자기네 회사에 구인광고를 알려줬어.,0
M_000108,기쁨,입사 새내기지만 나는 우리 팀을 잘 이끌어 주시는 팀장님이 있어서 감사함을 느껴.,0
M_000109,기쁨,어제 팀장님의 말로 상처를 받았는데 한편으로는 아주 감사해.,0
M_000110,기쁨,나는 나에게 커피를 챙기며 다정하게 대하는 동료들에게 늘 고맙게 생각하지.,0
M_000111,기쁨,새로 온 과장님이 업무를 분담해주셔서 능률이 올랐어. 정말 행복해.,0
M_000112,기쁨,내 말을 듣고 쉽게 설명 해주는 팀장님께 너무 감사해.,0
M_000113,기쁨,나를 응원해 준 친구 덕분에 용기를 얻어 매니지먼트 회사에 지원했어. 지금이 너무 행복해.,0
M_000114,기쁨,나를 믿고 도와준 직장 동료들 덕분에 일이 수월하게 끝났어. 행복해서 날아갈 것 같아.,0
M_000115,기쁨,팀원들 덕분에 우리의 프로젝트가 성공적으로 마무리 되었어. 감사하고 미칠 듯이 기뻐.,0
M_000116,기쁨,나는 내성적인데 사교성 좋은 직장 동료를 만나서 잘 적응하게 되었어. 너무 감사해.,0
M_000117,기쁨,팀장님 덕분에 우리 팀이 높은 성과를 거뒀고 나는 여기 소속인 게 자랑스러워.,0
M_000118,기쁨,오늘 온종일 굶었는데 최 주임이 간식을 주어서 너무 기뻐.,0
M_000119,기쁨,내 지인들은 내가 힘들어 할 때마다 날 도와줘. 정말 고마워.,0
M_000120,기쁨,친구가 내가 경제적으로 어려웠을 때 도움을 주었어. 정말 고마워.,0
M_000121,기쁨,오늘 상사에게 꾸지람을 들었을 때 박 주임이 위로를 해주었어. 안 좋았던 기분이 싹 풀렸었어.,0
M_000122,기쁨,회사가 어려워져 인원을 감축할 때 팀장님이 나를 끝까지 보호해 주었어. 정말 감사해.,0
M_000123,기쁨,어머니께서 간 이식 수술을 받는 데 내 간이 조직에 적합하다는 소리를 듣고 너무 감사해.,0
M_000124,기쁨,내가 심한 교통사고가 났을 때 어머니는 밤새 나를 간호해주었어. 어머니께 정말 감사해.,0
M_000125,기쁨,내가 지갑을 잃어버렸을 때 전 팀장님께서 며칠 간 점심을 계산해주셨어. 정말 감사해.,0
M_000126,기쁨,내가 타 부서에서 책잡힐 일을 했는데 김 팀장이 내 편을 들어줬어. 너무 기쁘고 감사해.,0
M_000127,기쁨,이혼 후 몇 년 만에 사랑하는 사람이 생겨서 재혼했어.,0
M_000128,기쁨,나는 이렇게 무난하게 대기업에서 아직도 일을 한다는 게 감사해.,0
M_000129,기쁨,딸이 내 얼굴이 아니라 아내를 닮아서 감사해. 외모 걱정은 안 해도 될 것 같아.,0
M_000130,기쁨,생일인데 아내가 깜짝 선물을 줘서 너무 고맙더라고.,0
M_000131,기쁨,가족이 정말 감사해. 화목한 가정이란 게 안식처더라고.,0
M_000132,기쁨,음식이 맛있다는 게 새삼 감사한 일이야. 우리 아내는 솜씨가 좋거든.,0
M_000133,기쁨,우리 가족은 심성부터가 착해. 서로를 배려하고 안 좋은 말 안 하니 정말 감사해.,0
M_000134,기쁨,아들이 명문대에 합격해서 고마워. 다만 일하느라 신경을 못 써준 게 참 그래.,0
M_000135,기쁨,이제 중년의 세월이 다가오니 그동안 나와 함께해온 가족들에게 감사한 마음이 드네.,0
M_000136,기쁨,내 자녀가 모 대학에 합격했어. 이렇게 건강하게 자라줘서 너무 고마운거 알지? 그러고 보니 나도 벌써 오십을 바라보는구나.,0
M_000137,기쁨,가족끼리 외식하고 왔더니 기분이 좋네.,0
M_000138,기쁨,아이가 있는 나와 결혼해 준 아내에게 너무 고마워.,0
M_000139,기쁨,요즘은 우리 두 아들에게 새삼 감사함을 느껴.,0
M_000140,기쁨,우리 부자간은 사이가 좋아서 정말 감사해.,0
M_000141,기쁨,부녀지간에 사이가 좋아서 정말 감사해.,0
M_000142,기쁨,내 아내와는 사는 동안 큰 다툼이 없었던 것 같아서 감사해.,0
M_000143,기쁨,이혼 후 몇 년 만에 사랑하는 사람이 생겨서 재혼했어.,0
M_000144,기쁨,나나 아내나 나이가 있어 태어날 아이를 걱정했지만 건강해.,0
M_000145,기쁨,나는 이렇게 무난하게 대기업에서 아직도 일을 한다는 게 감사해.,0
M_000146,기쁨,천만다행이야. 아내가 탄 버스가 사고 났는데 아내는 다친 곳 없이 무사해.,0
M_000147,기쁨,딸이 내 얼굴이 아니라 아내를 닮아서 감사해. 외모 걱정은 안 해도 될 것 같아.,0
M_000148,기쁨,당뇨병이 있지만 감사히 살아야겠지?,0
M_000149,기쁨,손녀가 열이 나서 병원에 갔는데 다행히 감기라고 하네.,0
M_000150,기쁨,집에서 부모님과 진로 때문에 너무 힘들어.,0
M_000151,기쁨,은퇴하고 만성질환도 없어.,0
M_000152,기쁨,만성질환이 있었지만 살 만큼 살은거 같애.,0
M_000153,기쁨,아내가 길 가다가 쓰러졌는데 주변 사람들이 도와줘서 병원에 바로 갔대.,0
M_000154,기쁨,나이가 있는데 어디 아픈 곳 없이 튼튼하니 정말 다행이라고 생각해.,0
M_000155,기쁨,내가 늦은 시간에 교통사고가 났는데 목격자가 있어서 억울한 일이 생기지 않았어.,0
M_000156,기쁨,자식들이 태어난 게 진짜 엊그제 같은데 벌써 잘 커서 가정을 꾸리고 있어.,0
M_000157,기쁨,사위가 아들 못지않게 나를 챙겨주고 존중해줘서 너무 고마워.,0
M_000158,기쁨,내 부족한 부분을 아내가 채워줘서 항상 고마워.,0
M_000159,기쁨,이번에 윗집에 이사 온 사람들은 참 친절한 것 같아.,0
M_000160,기쁨,만성질환으로 고생하고 있는데 친구가 와서 보살펴주고 있어.,0
M_000161,기쁨,정년퇴직하고 만성질환으로 고생하고 있어.,0
M_000162,기쁨,이번 건강검진을 받았는데 진료비가 걱정이야.,0
M_000163,기쁨,이번에 가게 주인이 월세를 십만 원 내려서 재계약하자고 하네. 정말 다행이야.,0
M_000164,기쁨,교회에서 환우 공동모금이 이루어진다는데 참 고맙네.,0
M_000165,기쁨,아픈 곳이 없지만 재정적으로 걱정이야.,0
M_000166,기쁨,이번에 정부에서 시행하는 서민금융지원 혜택을 드디어 받게 됐어.,0
M_000167,기쁨,대출 연장이 되서 다행이야.,0
M_000168,기쁨,이번달도 월세가 잘 입금됐네.,0
M_000169,불안,내가 친구를 때린 것을 우리 부모님이 아시게 된다면 난 매우 혼날 거야.,3
M_000170,불안,따돌림을 당한 친구를 도와주니 않아서 혹시나 그 친구가 나에 대해 실망하였을까 내내 불안해.,3
M_000171,불안,학급에서 항상 좋은 사람으로 여겨지고 싶은데 혹시라도 실수를 하게 될까 봐 걱정돼.,3
M_000172,불안,친구들에게 내 의견을 당당히 말했다가 따돌림을 당할까 봐 조심하게 돼.,3
M_000173,불안,친구가 나를 때린 사실을 선생님이 안 믿어주실까 봐 걱정이 돼.,3
M_000174,불안,내일도 그 애가 날 때리진 않을까 무서워서 학교를 가기가 싫어.,3
M_000175,불안,나의 무뚝뚝한 표정이 다른 친구들에게 오해를 줄까 걱정되어 웃는 연습을 많이 하고 있어.,3
M_000176,불안,새로운 학교에서 혼자가 되지 않기 위해 그 학교의 짱과 친해질 거야.,3
M_000177,불안,부모님에게 내가 친구를 폭행한 사실이 알려질까 봐 걱정스러워.,3
M_000178,불안,혹시나 선생님이 걔를 크게 혼내지 않으시면 다시 그 애가 나를 괴롭힐까 두려워.,3
M_000179,불안,나의 느린 행동 때문에 친구들이 답답하게 느낄까 봐 겁이 나.,3
M_000180,불안,다른 친구에게 맞지 않기 위해 몸집을 키우고 싶어.,3
M_000181,불안,난 지금 학교에서 따돌림을 당하고 있어. 친구가 나한테 실망하고 떠나갈까 봐 무서워.,3
M_000182,불안,학교에서 나를 따돌리는 아이들이 내 가족한테 무슨 짓을 할 것 같아서 너무 무서워.,3
M_000183,불안,내일 내 학교 폭력 재판이 열려. 이길 수 있을지 너무 불안해. 이기지 못하면 어떡하지?,3
M_000184,불안,나는 내가 당하던 학교 폭력을 신고했어. 가해자들은 전학을 갔지만 나에게 보복을 할 것 같아서 두려워.,3
M_000185,불안,학교 폭력을 당하던 친구가 오늘은 학교에 나오지 않았어. 걱정되고 죄책감이 들어.,3
M_000186,불안,학교에서 친구가 맞는 것을 보고 경찰에 신고했는데 내가 신고한 것을 들킨 것 같아서 많이 불안해.,3
